,0 F,0.25 F,0.5 F,0.75 F,1 F,1.25 F,1.5 F,1.75 F,2 F,2.25 F,2.5 F,2.75 F,3 F
0 L,74.0507279,6.705510071,0.7971888603,0.5755755756,0.4255745256,1.022537563,1.543878657,1.028828076,0.32049677,0.5970149254,0.9313215401,0.4490413724,1.446490526
0.25 L,22.08585884,26.19506749,13.42187343,9.503359774,7.9343503,2.581697508,2.264195214,2.315056571,5.27454693,7.491015842,6.700218596,6.474856394,3.5913406
0.5 L,61.55658013,30.82383523,32.46236722,23.58113913,21.80561163,18.97309032,20.02835156,21.62162162,19.40774487,22.34332425,21.66860377,18.09427779,12.55632626
0.75 L,80.47485474,57.13569854,53.44940371,43.51608335,47.84870215,44.05555556,37.02656297,40.68139312,43.22681926,41.31793889,43.278904,40.85603113,22.75734728
1 L,85.23278492,72.03632168,65.55376236,58.33460269,54.15230176,57.31954582,55.56062449,57.27328058,57.81218377,60.67609346,60.30476383,59.91098073,32.92936464
1.25 L,81.97327124,66.95935775,64.1107078,60.72276978,56.66954622,59.38576931,58.67923572,58.00808898,56.42947582,62.60059726,60.15922113,33.27083861,33.72087146
1.5 L,81.23669539,71.3489633,61.70973754,56.86185044,62.4822695,60.07491016,57.65592594,56.44883485,57.54568926,60.298583,59.58189917,35.03871262,31.63208643
1.75 L,75.7974892,70.76876787,63.77127229,64.4711587,59.48113926,60.87617889,60.82078237,58.01712346,63.84280801,59.15272231,60.85659385,37.82676847,32.86936276
2 L,78.15457812,68.71704745,59.83888945,66.10726381,60.69543147,60.65498858,59.90694852,63.40994229,60.55873853,61.95536663,61.43095853,37.12943791,35.69045693
2.25 L,79.4656915,65.4644095,61.48358043,63.53126109,62.7715736,63.50898568,58.81160008,58.2260517,64.69723841,60.69964056,60.6463686,40.49653638,36.19013871
2.5 L,82.97560729,74.01317444,65.26257378,61.49876031,64.24223981,63.10355299,57.7651707,61.996453,62.27684216,62.55308392,61.41389606,43.64822494,36.29036321
2.75 L,86.65221118,66.64321962,61.96080412,63.7470939,60.4999494,59.45521746,61.26290225,63.46396966,64.4184168,66.38744512,63.82257738,42.11058324,33.46837494
3 L,85.66688452,67.27327569,63.74697092,64.9115715,63.80697051,61.32151899,61.51548897,66.05922551,62.93055485,62.49367217,65.22420505,40.40281362,44.18522088
