,0 F,0.25 F,0.5 F,0.75 F,1 F,1.25 F,1.5 F,1.75 F,2 F,2.25 F,2.5 F,2.75 F,3 F
0 L,25.9492721,93.29448993,99.20281114,99.42442442,99.57442547,98.97746244,98.45612134,98.97117192,99.67950323,99.40298507,99.06867846,99.55095863,98.55350947
0.25 L,77.91414116,73.80493251,86.57812657,90.49664023,92.0656497,97.41830249,97.73580479,97.68494343,94.72545307,92.50898416,93.2997814,93.52514361,96.4086594
0.5 L,38.44341987,69.17616477,67.53763278,76.41886087,78.19438837,81.02690968,79.97164844,78.37837838,80.59225513,77.65667575,78.33139623,81.90572221,87.44367374
0.75 L,19.52514526,42.86430146,46.55059629,56.48391665,52.15129785,55.94444444,62.97343703,59.31860688,56.77318074,58.68206111,56.721096,59.14396887,77.24265272
1 L,14.76721508,27.96367832,34.44623764,41.66539731,45.84769824,42.68045418,44.43937551,42.72671942,42.18781623,39.32390654,39.69523617,40.08901927,67.07063536
1.25 L,18.02672876,33.04064225,35.8892922,39.27723022,43.33045378,40.61423069,41.32076428,41.99191102,43.57052418,37.39940274,39.84077887,66.72916139,66.27912854
1.5 L,18.76330461,28.6510367,38.29026246,43.13814956,37.5177305,39.92508984,42.34407406,43.55116515,42.45431074,39.701417,40.41810083,64.96128738,68.36791357
1.75 L,24.2025108,29.23123213,36.22872771,35.5288413,40.51886074,39.12382111,39.17921763,41.98287654,36.15719199,40.84727769,39.14340615,62.17323153,67.13063724
2 L,21.84542188,31.28295255,40.16111055,33.89273619,39.30456853,39.34501142,40.09305148,36.59005771,39.44126147,38.04463337,38.56904147,62.87056209,64.30954307
2.25 L,20.5343085,34.5355905,38.51641957,36.46873891,37.2284264,36.49101432,41.18839992,41.7739483,35.30276159,39.30035944,39.3536314,59.50346362,63.80986129
2.5 L,17.02439271,25.98682556,34.73742622,38.50123969,35.75776019,36.89644701,42.2348293,38.003547,37.72315784,37.44691608,38.58610394,56.35177506,63.70963679
2.75 L,13.34778882,33.35678038,38.03919588,36.2529061,39.5000506,40.54478254,38.73709775,36.53603034,35.5815832,33.61255488,36.17742262,57.88941676,66.53162506
3 L,14.33311548,32.72672431,36.25302908,35.0884285,36.19302949,38.67848101,38.48451103,33.94077449,37.06944515,37.50632783,34.77579495,59.59718638,55.81477912
