AA,Strains,Replicate,0,0.5,1,1.5,2,2.5,3,3.5,4
2L2F,leuB-pheA,Rep1,0.712,0.678,0.542,0.379,0.369,0.344,0.319,0.308,0.31
2L2F,leuB-pheA,Rep2,0.641,0.594,0.553,0.49,0.478,0.383,0.372,0.372,0.367
2L2F,leuB-pheA,Rep3,0.644,0.591,0.473,0.375,0.419,0.361,0.318,0.301,0.287
2L2F,leuB-pheA,Rep4,0.619,0.561,0.431,0.384,0.395,0.339,0.31,0.293,0.29
2L2F,leuB-pheA,Rep5,0.607,0.561,0.449,0.441,0.373,0.348,0.307,0.289,0.263
2L2F,leuB-pheA,Rep6,0.559,0.563,0.415,0.349,0.377,0.304,0.291,0.264,0.265
2L2F,leuB-pheA,Rep7,0.563,0.518,0.392,0.366,0.367,0.348,0.282,0.285,0.277
2L2F,leuB-pheA,Rep8,0.53,0.468,0.376,0.352,0.326,0.29,0.287,0.255,0.252
2L2F,leuB,Rep1,0.544,0.565,0.454,0.327,0.165,0.154,0.149,0.12,0.105
2L2F,leuB,Rep2,0.481,0.515,0.461,0.393,0.357,0.242,0.205,0.171,0.151
2L2F,leuB,Rep3,0.477,0.496,0.408,0.312,0.205,0.192,0.196,0.143,0.14
2L2F,leuB,Rep4,0.417,0.431,0.335,0.279,0.179,0.171,0.155,0.136,0.138
2L2F,leuB,Rep5,0.398,0.427,0.353,0.29,0.187,0.161,0.143,0.133,0.117
2L2F,leuB,Rep6,0.385,0.394,0.334,0.234,0.135,0.126,0.125,0.11,0.102
2L2F,leuB,Rep7,0.385,0.338,0.268,0.217,0.132,0.143,0.097,0.113,0.089
2L2F,leuB,Rep8,0.367,0.316,0.229,0.153,0.103,0.092,0.094,0.059,0.053
2L2F,pheA,Rep1,0.478,0.232,0.16,0.101,0.108,0.038,0.027,0.023,0.021
2L2F,pheA,Rep2,0.435,0.262,0.276,0.137,0.103,0.098,0.05,0.031,0.021
2L2F,pheA,Rep3,0.388,0.222,0.136,0.098,0.067,0.042,0.021,0.021,0.016
2L2F,pheA,Rep4,0.364,0.219,0.123,0.102,0.054,0.036,0.033,0.019,0.015
2L2F,pheA,Rep5,0.384,0.25,0.119,0.073,0.089,0.039,0.027,0.025,0.017
2L2F,pheA,Rep6,0.441,0.195,0.124,0.067,0.043,0.036,0.029,0.019,0.021
2L2F,pheA,Rep7,0.442,0.21,0.174,0.063,0.051,0.046,0.03,0.018,0.014
2L2F,pheA,Rep8,0.604,0.206,0.117,0.089,0.065,0.047,0.02,0.02,0.018
3L3F,leuB-pheA,Rep1,0.66,0.612,0.465,0.345,0.264,0.243,0.21,0.194,0.193
3L3F,leuB-pheA,Rep2,0.605,0.538,0.462,0.269,0.248,0.184,0.175,0.192,0.165
3L3F,leuB-pheA,Rep3,0.626,0.538,0.428,0.291,0.22,0.224,0.18,0.162,0.161
3L3F,leuB-pheA,Rep4,0.577,0.521,0.399,0.221,0.243,0.194,0.224,0.191,0.207
3L3F,leuB-pheA,Rep5,0.528,0.469,0.36,0.264,0.202,0.228,0.184,0.208,0.177
3L3F,leuB-pheA,Rep6,0.475,0.463,0.321,0.235,0.226,0.192,0.191,0.162,0.171
3L3F,leuB-pheA,Rep7,0.486,0.449,0.296,0.248,0.219,0.25,0.198,0.21,0.192
3L3F,leuB-pheA,Rep8,0.503,0.413,0.276,0.25,0.221,0.212,0.195,0.16,0.17
3L3F,leuB,Rep1,0.628,0.53,0.384,0.346,0.266,0.213,0.183,0.177,0.126
3L3F,leuB,Rep2,0.545,0.487,0.499,0.339,0.239,0.203,0.184,0.156,0.143
3L3F,leuB,Rep3,0.564,0.535,0.398,0.331,0.307,0.245,0.177,0.13,0.141
3L3F,leuB,Rep4,0.507,0.48,0.401,0.336,0.231,0.228,0.182,0.153,0.123
3L3F,leuB,Rep5,0.528,0.464,0.348,0.256,0.233,0.176,0.177,0.16,0.146
3L3F,leuB,Rep6,0.506,0.441,0.342,0.246,0.173,0.158,0.175,0.14,0.121
3L3F,leuB,Rep7,0.495,0.464,0.311,0.208,0.147,0.225,0.181,0.174,0.14
3L3F,leuB,Rep8,0.471,0.452,0.341,0.251,0.186,0.164,0.168,0.128,0.135
3L3F,pheA,Rep1,0.534,0.272,0.127,0.058,0.061,0.047,0.036,0.045,0.066
3L3F,pheA,Rep2,0.448,0.26,0.163,0.088,0.072,0.052,0.055,0.071,0.082
3L3F,pheA,Rep3,0.395,0.239,0.129,0.09,0.082,0.084,0.069,0.055,0.074
3L3F,pheA,Rep4,0.382,0.244,0.091,0.057,0.048,0.036,0.03,0.042,0.066
3L3F,pheA,Rep5,0.382,0.281,0.084,0.061,0.044,0.044,0.028,0.038,0.033
3L3F,pheA,Rep6,0.393,0.211,0.079,0.046,0.03,0.023,0.023,0.027,0.024
3L3F,pheA,Rep7,0.394,0.208,0.098,0.048,0.04,0.043,0.036,0.033,0.027
3L3F,pheA,Rep8,0.44,0.211,0.065,0.033,0.025,0.025,0.021,0.02,0.018
1L1F,leuB-pheA,Rep1,0.706,0.686,0.52,0.463,0.336,0.297,0.279,0.316,0.248
1L1F,leuB-pheA,Rep2,0.651,0.669,0.622,0.49,0.428,0.347,0.352,0.38,0.325
1L1F,leuB-pheA,Rep3,0.609,0.629,0.552,0.444,0.362,0.29,0.317,0.279,0.231
1L1F,leuB-pheA,Rep4,0.557,0.572,0.495,0.354,0.347,0.269,0.299,0.255,0.215
1L1F,leuB-pheA,Rep5,0.534,0.555,0.475,0.41,0.315,0.324,0.276,0.252,0.205
1L1F,leuB-pheA,Rep6,0.516,0.546,0.448,0.342,0.312,0.243,0.244,0.195,0.183
1L1F,leuB-pheA,Rep7,0.503,0.566,0.405,0.374,0.299,0.293,0.224,0.233,0.2
1L1F,leuB-pheA,Rep8,0.505,0.505,0.43,0.345,0.262,0.238,0.229,0.178,0.181
1L1F,leuB,Rep1,0.426,0.502,0.408,0.325,0.19,0.159,0.119,0.124,0.117
1L1F,leuB,Rep2,0.486,0.51,0.538,0.413,0.342,0.221,0.159,0.13,0.148
1L1F,leuB,Rep3,0.45,0.482,0.422,0.342,0.167,0.155,0.145,0.138,0.127
1L1F,leuB,Rep4,0.434,0.421,0.347,0.318,0.168,0.137,0.139,0.115,0.122
1L1F,leuB,Rep5,0.416,0.412,0.328,0.289,0.137,0.137,0.124,0.11,0.11
1L1F,leuB,Rep6,0.4,0.37,0.321,0.25,0.115,0.097,0.08,0.06,0.073
1L1F,leuB,Rep7,0.412,0.35,0.307,0.246,0.112,0.109,0.079,0.064,0.056
1L1F,leuB,Rep8,0.23,0.165,0.157,0.169,0.171,0.174,0.177,0.172,0.251
1L1F,pheA,Rep1,0.62,0.381,0.33,0.231,0.251,0.168,0.176,0.23,0.138
1L1F,pheA,Rep2,0.584,0.358,0.415,0.353,0.235,0.262,0.268,0.213,0.158
1L1F,pheA,Rep3,0.531,0.403,0.341,0.302,0.257,0.22,0.186,0.121,0.158
1L1F,pheA,Rep4,0.507,0.383,0.301,0.262,0.244,0.238,0.158,0.174,0.169
1L1F,pheA,Rep5,0.511,0.385,0.305,0.274,0.28,0.246,0.239,0.185,0.181
1L1F,pheA,Rep6,0.454,0.362,0.347,0.267,0.201,0.205,0.215,0.204,0.178
1L1F,pheA,Rep7,0.468,0.367,0.394,0.303,0.236,0.188,0.18,0.193,0.183
1L1F,pheA,Rep8,0.389,0.322,0.313,0.193,0.176,0.157,0.142,0.156,0.135
0L0F,leuB-pheA,Rep1,0.217,0.195,0.177,0.209,0.242,0.209,0.173,0.208,0.247
0L0F,leuB-pheA,Rep2,0.191,0.179,0.186,0.224,0.231,0.236,0.218,0.225,0.241
0L0F,leuB-pheA,Rep3,0.173,0.207,0.182,0.23,0.202,0.206,0.229,0.228,0.233
0L0F,leuB-pheA,Rep4,0.158,0.187,0.156,0.163,0.173,0.179,0.205,0.216,0.222
0L0F,leuB-pheA,Rep5,0.138,0.143,0.18,0.169,0.2,0.201,0.207,0.171,0.21
0L0F,leuB-pheA,Rep6,0.113,0.129,0.165,0.196,0.193,0.155,0.168,0.176,0.208
0L0F,leuB-pheA,Rep7,0.131,0.149,0.189,0.224,0.2,0.192,0.191,0.182,0.201
0L0F,leuB-pheA,Rep8,0.113,0.141,0.13,0.151,0.137,0.13,0.143,0.161,0.171
